20,2,17,15,6,11,8,19,13,1,7,5,3,12,14,4,16,18,9,10
17,16,12,1,18,15,14,13,11,10,9,8,6,4,3,2,19,20,7,5
7,13,5,19,15,4,11,3,12,1,14,20,8,6,2,16,10,17,18,9
5,11,6,1,9,18,17,16,15,14,13,10,8,7,12,19,4,3,2,20
6,11,15,1,18,17,16,13,20,5,4,2,14,10,19,8,3,9,12,7
13,5,10,4,8,12,2,17,16,14,18,1,19,7,11,20,6,3,9,15
11,5,1,7,4,19,13,8,18,15,6,2,9,20,3,12,16,17,14,10
17,16,18,5,6,15,11,10,3,7,13,1,4,2,12,19,14,8,20,9
7,6,1,17,16,15,14,13,12,11,10,9,8,5,4,3,2,19,20,18
1,18,14,19,9,8,20,6,5,3,2,7,10,4,11,12,13,15,16,17
8,15,11,1,18,14,13,19,10,6,5,4,3,2,9,12,16,17,7,20
14,10,2,15,5,6,18,11,9,1,8,12,13,7,4,16,17,20,3,19
10,17,16,15,14,13,19,20,7,4,3,8,9,12,5,18,11,6,2,1
15,8,5,4,9,1,18,11,17,16,7,14,10,12,19,6,3,2,13,20
4,12,10,8,7,20,9,2,6,1,5,19,13,14,15,11,16,17,18,3
10,11,7,1,20,14,15,2,12,13,16,17,18,6,8,5,3,9,19,4
5,11,19,1,13,6,2,9,8,20,3,4,12,15,18,7,14,16,17,10
1,11,6,9,5,2,4,18,10,7,19,12,13,14,15,17,3,8,20,16
11,6,1,5,19,13,9,18,17,16,15,20,7,4,3,2,12,8,14,10
6,20,18,17,5,16,1,4,2,10,9,19,11,12,13,15,8,14,3,7
19,11,10,4,5,12,16,17,1,9,15,8,6,20,14,18,13,3,7,2
2,13,1,17,16,15,14,9,10,7,6,4,3,8,20,19,12,18,11,5
6,9,7,12,10,18,17,16,15,14,13,20,5,4,3,2,11,19,8,1
5,8,1,11,4,6,9,19,3,12,2,7,14,18,10,13,15,16,17,20
6,9,4,20,2,17,7,8,16,15,14,13,3,1,11,5,10,18,12,19
1,5,8,11,15,9,10,12,6,18,4,13,17,16,19,3,14,2,7,20
10,15,18,14,13,19,8,20,9,6,11,5,4,16,17,1,12,3,2,7
10,15,5,18,12,17,14,13,11,1,9,8,7,6,4,3,2,19,20,16
11,18,5,4,10,13,19,15,14,12,1,8,7,6,3,2,9,20,16,17
8,9,1,2,15,4,11,6,5,13,7,20,14,18,10,19,16,17,12,3
1,13,7,19,18,17,16,14,11,10,8,6,4,2,9,5,15,12,3,20
1,3,17,16,20,6,7,8,19,11,13,15,4,5,12,10,14,2,18,9
7,19,1,8,17,5,6,9,11,14,13,10,3,2,4,15,16,12,20,18
13,18,16,6,11,4,14,12,9,2,19,7,8,5,3,15,17,1,10,20
3,16,15,8,1,18,17,14,10,19,11,12,13,5,4,2,9,20,7,6
15,14,6,1,4,7,19,13,10,8,5,20,12,3,16,17,2,18,9,11
10,17,16,15,14,12,8,20,5,19,3,18,1,9,11,6,13,4,2,7
19,1,7,6,18,20,4,2,8,9,11,12,13,14,15,16,17,5,3,10
17,3,16,12,8,10,13,11,20,7,9,19,6,14,2,15,5,4,18,1
4,5,12,3,2,11,14,15,1,6,8,9,19,18,17,10,13,7,16,20
13,1,2,19,5,7,20,4,9,3,14,15,16,17,8,12,18,6,10,11
4,6,1,18,17,16,15,14,13,12,10,19,9,8,7,5,2,11,20,3
5,11,1,13,4,6,15,9,17,16,18,14,10,19,8,7,2,12,20,3
3,2,12,1,15,14,13,11,19,10,7,5,9,8,6,4,16,17,18,20
1,2,8,9,14,6,7,4,13,17,16,18,10,19,3,12,20,11,15,5
11,5,15,19,8,6,1,14,13,10,3,2,7,12,4,16,17,18,9,20
1,13,15,5,19,12,3,4,9,18,8,11,17,7,14,16,10,2,6,20
20,5,7,9,12,18,17,16,15,14,13,1,19,8,6,4,3,2,11,10
4,8,5,13,6,1,9,11,15,18,14,10,19,7,2,12,20,3,16,17
7,8,11,13,20,15,17,16,9,18,5,2,14,10,19,1,6,3,12,4
7,15,4,3,17,16,2,5,20,19,12,6,9,14,18,1,8,13,10,11
17,8,2,7,14,19,13,1,18,16,15,10,11,9,6,5,4,3,20,12
15,13,11,1,17,18,16,14,12,10,5,4,3,2,19,20,9,8,7,6
5,19,1,18,17,16,15,14,13,12,10,9,8,7,6,4,2,3,11,20
1,9,5,6,14,13,18,10,2,11,3,15,12,17,7,19,4,16,20,8
13,8,1,5,11,18,6,14,20,2,4,15,19,9,7,12,3,16,17,10
